date,Fund_A,Fund_B,Fund_C
2015-08-24,8364963,812730000,147619592
2015-08-25,8364963,812730000,142298711
2015-08-26,8535153,812730000,148144811
2015-08-27,8660511,812730000,150911362
2015-08-28,8727705,767280000,151389499
2015-08-31,8708202,767280000,149938474
2015-09-01,8708202,767280000,145655165
2015-09-02,8625420,767280000,147456404
2015-09-03,8625420,767280000,147480821
2015-09-04,8616041,767280000,145582986
2015-09-07,8615492,767280000,145582986
2015-09-08,8758400,767280000,149329799
2015-09-09,8759596,767280000,147503599
2015-09-10,8790456,767280000,148726342
2015-09-11,8777443,767280000,148096606
2015-09-14,8734870,767280000,149405207
2015-09-15,8820185,767280000,151366363
2015-09-16,8840899,767280000,153270796
2015-09-17,8891901,767280000,153544127
2015-09-18,8952345,767280000,151320377
2015-09-21,9000552,767280000,151926670
2015-09-22,8901576,767280000,150578860
2015-09-23,8980860,767280000,150490489
2015-09-24,8933594,767280000,150215219
2015-09-25,8931968,767280000,149529826
2015-09-28,8809416,767280000,145444803
2015-09-29,8788346,767280000,144722464
2015-09-30,9018479,721040000,151631077
2015-10-01,9018479,721040000,151703796
2015-10-02,9192193,721040000,154089324
2015-10-05,9192193,721040000,156659080
2015-10-06,9308855,721040000,155569169
2015-10-07,9364423,721040000,156571386
2015-10-08,9549907,721040000,157453541
2015-10-09,9574435,721040000,157909309
2015-10-12,9666307,721040000,158417100
2015-10-13,9476204,721040000,158861749
2015-10-14,9461987,721040000,159491308
2015-10-15,9535095,721040000,162047045
2015-10-16,9621015,721040000,167536502
2015-10-19,9900345,721040000,170989443
2015-10-20,9847082,721040000,170712004
2015-10-21,9663305,721040000,169728240
2015-10-22,9793476,721040000,177344472
2015-10-23,9969921,721040000,181666445
2015-10-26,9951685,721040000,182597501
2015-10-27,9854352,721040000,184371309
2015-10-28,9982840,721040000,186497700
2015-10-29,9981184,721040000,187265745
2015-10-30,9947035,750777611,186475817
2015-11-02,9989079,750777611,188582014
2015-11-03,10034251,750777611,190164022
2015-11-04,10129445,750777611,190037476
2015-11-05,10130797,750777611,189964224
2015-11-06,10232274,750777611,190052211
2015-11-09,10246842,750777611,188983863
2015-11-10,10282150,750777611,193582042
2015-11-11,10346335,750777611,195478927
2015-11-12,10297750,750777611,193606910
2015-11-13,10261610,750777611,189954585
2015-11-16,10232579,750777611,192850932
2015-11-17,10339742,750777611,193610909
2015-11-18,10450513,750777611,198298783
2015-11-19,10475283,750777611,198520543
2015-11-20,10552631,750777611,200386787
2015-11-23,10532801,750777611,201060215
2015-11-24,10537407,750777611,201273127
2015-11-25,10640241,750777611,201731237
2015-11-26,10648042,750777611,201731237
2015-11-27,10828486,750777611,219334815
2015-11-30,10890023,715119327,224363624
2015-12-01,10934302,715119327,226004049
2015-12-02,10893777,715119327,224397834
2015-12-03,10766717,715119327,220924381
2015-12-04,10787239,715119327,225156433
2015-12-07,10758159,715119327,223343957
2015-12-08,10694483,715119327,226860044
2015-12-09,10628570,715119327,225967284
2015-12-10,10655742,715119327,230018639
2015-12-11,10655742,715119327,228868179
2015-12-14,10306160,715119327,231845765
2015-12-15,10421091,715119327,234941779
2015-12-16,10528590,715119327,239978857
2015-12-17,10574678,715119327,241278935
2015-12-18,10635681,715119327,240195367
2015-12-21,10724863,715119327,242717564
2015-12-22,10726578,715119327,245262674
2015-12-23,11032226,715119327,248340902
2015-12-24,11043964,715119327,248615454
2015-12-25,11043964,715119327,248615454
2015-12-28,11038596,715119327,249597608
2015-12-29,11077227,715119327,253305939
2015-12-30,11096495,715119327,251648624
2015-12-31,11096495,692698856,248002503
2016-01-01,11096495,692698856,248002503
2016-01-04,10741163,692698856,243157265
2016-01-05,10741163,692698856,243404242
2016-01-06,10741163,692698856,241537617
2016-01-07,10577819,692698856,235862219
2016-01-08,10577819,692698856,233220443
2016-01-11,10487555,692698856,233055389
2016-01-12,10821116,692698856,235289669
2016-01-13,10743788,692698856,228862597
2016-01-14,10775027,692698856,232152227
2016-01-15,10648189,692698856,227080431
2016-01-18,10505495,692698856,227080431
2016-01-19,10576059,692698856,227249008
2016-01-20,10463810,692698856,228034133
2016-01-21,10478038,692698856,228181543
2016-01-22,10651292,692698856,233393540
2016-01-25,10630651,692698856,230703568
2016-01-26,10944109,692698856,233420579
2016-01-27,10938741,692698856,230374664
2016-01-28,10914460,692698856,232122433
2016-01-29,11058132,629717919,237988555
2016-02-01,11077177,629717919,238716408
2016-02-02,10979330,629717919,234079793
2016-02-03,10979330,629717919,237530181
2016-02-04,10914692,629717919,238240876
2016-02-05,10817359,629717919,249650859
2016-02-08,10697892,629717919,246459068
2016-02-09,10697892,629717919,246156556
2016-02-10,10697892,629717919,247642369
2016-02-11,10691373,629717919,247138771
2016-02-12,10753143,629717919,251126820
2016-02-15,10841244,629717919,251126820
2016-02-16,10958690,629717919,255746803
2016-02-17,10958690,629717919,260788540
2016-02-18,11144764,629717919,260849748
2016-02-19,11026902,629717919,262876139
2016-02-22,11136079,629717919,266393886
2016-02-23,11107598,629717919,263205642
2016-02-24,11129131,629717919,272512850
2016-02-25,11319150,629717919,275197178
2016-02-26,11412346,629717919,275012690
2016-02-29,11476810,653768468,272153461
2016-03-01,11686084,653768468,280296229
2016-03-02,11712991,653768468,281527059
2016-03-03,11235090,653768468,292596495
2016-03-04,11192903,653768468,293062732
2016-03-07,11107200,653768468,293026865
2016-03-08,10968790,653768468,289128979
2016-03-09,11110308,653768468,290772792
2016-03-10,10988787,653768468,290625445
2016-03-11,11081185,653768468,295427205
2016-03-14,11087678,653768468,294665301
2016-03-15,10923344,653768468,294020117
2016-03-16,11027690,653768468,296480023
2016-03-17,11041502,653768468,296770297
2016-03-18,11051273,653768468,297703442
2016-03-21,11068667,653768468,298568588
2016-03-22,11042480,653768468,300047612
