date,Fund_A,Fund_B,Fund_C
2015-01-30,100,100,100
2015-02-02,100.134012140974,100.179235873756,101.012843164186
2015-02-03,100.134012140974,101.395416899139,102.317882970119
2015-02-04,102.238625862148,102.11841191764,102.193825874752
2015-02-05,102.883937762965,102.834720282544,103.39323491869
2015-02-06,102.919305734651,103.240597529588,103.30055542867
2015-02-09,102.676381303673,102.594821389964,102.834379689593
2015-02-10,103.663174042977,102.296310982301,103.945122541459
2015-02-11,103.899516345183,103.018399432231,104.251150336866
2015-02-12,104.373605137269,104.268806931306,105.017004764788
2015-02-13,105.34038820522,104.908816321603,105.598302657247
2015-02-16,105.610957576877,105.231710110732,105.598302657247
2015-02-17,105.495550919781,105.409600057891,105.937428240982
2015-02-18,105.373825419154,105.835428451366,105.959831088776
2015-02-19,105.680464856333,106.728716231597,106.297129403236
2015-02-20,106.221077029368,106.525111122407,106.92947284188
2015-02-23,106.319370151738,106.830309893334,106.72608651772
2015-02-24,106.548867040134,106.982908124983,107.058969768044
2015-02-25,106.994082227527,107.458401778655,107.208538125971
2015-02-26,108.547991178209,107.743544104678,107.333255519235
2015-02-27,107.640710554038,107.629609627925,106.950969297319
2015-03-02,108.718687716663,107.477011764694,107.935971591319
2015-03-03,108.33990814864,107.22283391689,107.220140885163
2015-03-04,108.592310845016,106.75402936691,107.081086524835
2015-03-05,109.163464095357,107.351052556312,107.62311868618
2015-03-06,109.441142166163,106.43113818374,106.130089710028
2015-03-09,110.053016852946,106.468787166028,106.551679656522
2015-03-10,109.117828002857,104.978482024721,104.59002712755
2015-03-11,110.447944576719,105.023711287521,104.325230493356
2015-03-12,110.82022977775,105.85407806565,105.516431280941
2015-03-13,111.077722653744,104.731892933055,104.781848657205
2015-03-16,111.830367133632,105.923691174907,106.307899318846
2015-03-17,111.195674400548,105.993303137517,106.013473652029
2015-03-18,110.606881045204,105.84070479933,106.94305294707
2015-03-19,111.425697859222,106.792592075714,106.764476224944
2015-03-20,111.262461066736,108.168067641968,107.963740415401
2015-03-23,110.417666784652,107.984397391689,107.452101970146
2015-03-24,110.478836700944,107.26809846486,107.021976955673
2015-03-25,108.808818999429,106.152600451112,105.160013370367
